college_id,name,city,state,tier,established_year,total_students,onboarded_date
24,Pathak College of Engineering,Ballia,Madhya Pradesh,Tier-2,1975,39,2023-09-03
25,Mysore Institute of Technology,Durgapur,Mizoram,Tier-2,2007,56,2023-08-08
26,Dutta College of Engineering,Bhubaneswar,Chhattisgarh,Tier-3,2008,46,2023-11-13
27,Eluru Institute of Technology,Kavali,Assam,Tier-1,2005,47,2023-07-14
28,Apte College of Engineering,Dehri,Himachal Pradesh,Tier-2,1980,44,2023-07-12
29,Mau Institute of Technology,Jorhat,Tripura,Tier-2,1982,48,2023-11-11
30,Dugar College of Engineering,Durg,Maharashtra,Tier-1,1979,45,2023-11-23
31,Orai Institute of Technology,Delhi,Telangana,Tier-2,2014,37,2023-12-16
32,Guna Institute of Technology,Guna,Bihar,Tier-1,1967,40,2023-08-20
33,Panvel Institute of Technology,Jamnagar,Kerala,Tier-1,1969,62,2023-07-25
34,Suresh College of Engineering,Khora ,Karnataka,Tier-3,2001,42,2023-12-01
35,Mathura Institute of Technology,Gorakhpur,Kerala,Tier-3,2006,55,2023-10-06
36,Guwahati Institute of Technology,New Delhi,Odisha,Tier-3,2006,50,2023-09-26
37,Warangal Institute of Technology,Coimbatore,Tripura,Tier-2,1973,56,2023-08-03
38,Lanka College of Engineering,Jamalpur,Goa,Tier-1,1999,54,2023-08-07
39,Iyer College of Engineering,Rajpur Sonarpur,Nagaland,Tier-3,1992,54,2023-10-28
40,Bahraich Institute of Technology,Silchar,Sikkim,Tier-2,1979,55,2023-07-06
41,Kar College of Engineering,Jamshedpur,Haryana,Tier-1,1970,44,2023-12-11
42,Giridih Institute of Technology,Sonipat,Andhra Pradesh,Tier-2,1972,46,2023-07-10
43,Bhargava College of Engineering,Chennai,Assam,Tier-1,2015,36,2023-11-22
44,Madurai Institute of Technology,Jabalpur,Arunachal Pradesh,Tier-3,1969,44,2023-09-07
45,Kakinada Institute of Technology,Alwar,Sikkim,Tier-2,1994,53,2023-10-14
46,Latur Institute of Technology,Aurangabad,Odisha,Tier-3,2000,47,2023-06-03
47,Chandra College of Engineering,Vellore,Gujarat,Tier-2,1972,51,2023-11-22
48,Sampath College of Engineering,Chinsurah,Kerala,Tier-2,2013,47,2023-08-08
49,Bhagat College of Engineering,Bhind,West Bengal,Tier-2,1986,45,2023-06-29
50,Moradabad Institute of Technology,Ghaziabad,Madhya Pradesh,Tier-1,1975,49,2023-09-25
51,Kolhapur Institute of Technology,Nellore,Gujarat,Tier-3,2011,55,2023-12-02
52,Kulti Institute of Technology,South Dumdum,Himachal Pradesh,Tier-3,1997,46,2023-12-13
53,Dhanbad Institute of Technology,Mango,Uttar Pradesh,Tier-3,1971,48,2023-11-08
54,Rourkela Institute of Technology,Tiruchirappalli,Tripura,Tier-3,2005,61,2023-10-08
55,Kala College of Engineering,Shivpuri,Meghalaya,Tier-2,1974,47,2023-09-04
56,Raghavan College of Engineering,Allahabad,Goa,Tier-3,1999,53,2023-12-17
57,Sha College of Engineering,Pali,Himachal Pradesh,Tier-1,1965,56,2023-11-01
58,Bhatpara Institute of Technology,Bhusawal,Tamil Nadu,Tier-1,1966,56,2023-06-29
59,Bhardwaj College of Engineering,Sagar,Gujarat,Tier-1,1984,48,2023-08-01
60,Bhimavaram Institute of Technology,Satara,Arunachal Pradesh,Tier-2,2001,53,2023-06-21
61,Howrah Institute of Technology,Ambala,West Bengal,Tier-2,1996,38,2023-06-18
62,Bir College of Engineering,Gaya,Assam,Tier-2,1999,54,2023-12-14
63,Adoni Institute of Technology,Sambhal,Bihar,Tier-3,2007,52,2023-09-30
64,Saini College of Engineering,Udupi,Assam,Tier-2,1975,53,2023-08-07
65,Murthy College of Engineering,Bhilwara,Gujarat,Tier-2,2003,45,2023-09-17
66,Deep College of Engineering,Bilaspur,Madhya Pradesh,Tier-2,1999,48,2023-12-11
67,Bora College of Engineering,Berhampore,Karnataka,Tier-1,1977,54,2023-11-30
68,Srinagar Institute of Technology,Berhampore,Punjab,Tier-3,2007,51,2023-11-14
69,Karnal Institute of Technology,Guna,Himachal Pradesh,Tier-1,1998,66,2023-09-24
70,Sangli-Miraj & Kupwad Institute of Technology,Sambalpur,Kerala,Tier-3,1979,42,2023-06-17
71,Pudukkottai Institute of Technology,Tinsukia,Tamil Nadu,Tier-3,2002,50,2023-10-20
72,Guntur Institute of Technology,Begusarai,Jharkhand,Tier-1,1979,51,2023-06-02
73,Darbhanga Institute of Technology,Bhiwandi,Bihar,Tier-1,2005,58,2023-06-16
74,Kurnool Institute of Technology,Mahbubnagar,Gujarat,Tier-3,1967,44,2023-08-24
75,Faridabad Institute of Technology,Dibrugarh,Meghalaya,Tier-3,1980,59,2023-08-11
76,Malhotra College of Engineering,Bhusawal,Uttarakhand,Tier-3,1978,47,2023-10-17
77,Firozabad Institute of Technology,Delhi,Karnataka,Tier-3,2001,56,2023-10-26
78,Kishanganj Institute of Technology,Mango,Nagaland,Tier-1,2015,53,2023-09-30
79,Dixit College of Engineering,Gorakhpur,Assam,Tier-2,1977,51,2023-06-25
80,Chinsurah Institute of Technology,Uluberia,Odisha,Tier-1,1992,51,2023-08-30
81,Thane Institute of Technology,Kalyan-Dombivli,Jharkhand,Tier-3,1994,45,2023-12-04
82,Kota Institute of Technology,Bhagalpur,Sikkim,Tier-2,2006,56,2023-11-13
83,Udupi Institute of Technology,Karaikudi,West Bengal,Tier-2,1990,46,2023-12-04
84,Belgaum Institute of Technology,Patiala,West Bengal,Tier-1,1971,44,2023-08-03
85,Bulandshahr Institute of Technology,Nagpur,Goa,Tier-2,1999,48,2023-09-23
86,Eluru Institute of Technology,Shimoga,Goa,Tier-2,1976,55,2023-08-11
87,Jaunpur Institute of Technology,Nandyal,Haryana,Tier-3,1969,73,2023-09-22
88,Kari College of Engineering,Farrukhabad,Uttarakhand,Tier-2,2000,49,2023-06-26
89,Silchar Institute of Technology,Nagpur,Sikkim,Tier-3,1999,42,2023-06-04
90,Boase College of Engineering,Alwar,West Bengal,Tier-2,2013,45,2023-07-31
91,Jorhat Institute of Technology,Etawah,Rajasthan,Tier-1,1996,54,2023-10-02
92,Mangalore Institute of Technology,Bhopal,Bihar,Tier-3,1990,51,2023-06-16
93,Hapur Institute of Technology,Agra,Bihar,Tier-3,1965,53,2023-09-08
94,Kharagpur Institute of Technology,Junagadh,Punjab,Tier-2,2015,39,2023-12-18
95,Mumbai Institute of Technology,Rohtak,Arunachal Pradesh,Tier-3,1992,46,2023-11-26
96,Boase College of Engineering,Bharatpur,Maharashtra,Tier-2,2015,35,2023-10-21
97,Dash College of Engineering,Satara,Sikkim,Tier-2,1996,54,2023-07-10
98,Khammam Institute of Technology,Guna,Jharkhand,Tier-2,1978,48,2023-06-15
99,Datta College of Engineering,Sagar,Nagaland,Tier-1,1999,52,2023-06-16
100,Raghavan College of Engineering,Bidar,Sikkim,Tier-1,1968,38,2023-06-13
